pais_id;nom_pais;sag;nom_provincia;departamento;link;cant_acopi;cap_menos2;cap_2a5;cap_5a10;cap_mas10;codset
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;MAGDALENA;6505;1;0;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;BRANDSEN;6119;5;3;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;PUNTA INDIO;6655;1;0;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;GENERAL BELGRANO;6301;13;3;2;2;3;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;LAS FLORES;6455;1;0;0;0;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;GENERAL ALVEAR;6287;5;3;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;LA PAMPA;CHALILEO;42049;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;LA PAMPA;CHICAL CO;42063;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;CASTELLI;6168;3;0;1;1;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;PILA;6630;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;TAPALQUE;6798;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;NEUQUEN;CHOS  MALAL;58042;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;NEUQUEN;MINAS;58077;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;RAUCH;6672;9;6;1;0;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;DOLORES;6238;2;1;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;AZUL;6049;30;10;7;0;6;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;NEUQUEN;PEHUENCHES;58091;0;0;0;0;0;1,03E+25
